Query,Boolean Correct,BM25 Correct,ST Correct
Doctor fights with Weeping Angels and wants to save Amy,3,3,4
Doctor and Clara are in nineteenth century,1,1,2
Doctor meet River Song for the first time,3,3,1
Doctor and Donna encounter Daleks and Davros,1,2,1
Doctor and Rose end up in a parallel universe,1,1,0
Doctor meets van Gogh,1,1,1
Doctor and Martha face time paradox creatures or similar threats,0,1,0
Doctor and Bill encounter Cybermen,2,2,3
Paternoster Gang and Doctor and Vastra and Strax,0,0,1
Doctor and Rose meet her father Pete Tyler,1,1,1
